ID,NR,TraceSampleCode,Region,RegionNo,LabNo,Date_ElementalBulk,Li_Bulk,B_Bulk,Na_Bulk,Mg_Bulk,Al_Bulk,K_Bulk,Ca_Bulk,V_Bulk,Mn_Bulk,Co_Bulk,Ni_Bulk,Cu_Bulk,Zn_Bulk,Ga_Bulk,Se_Bulk,Rb_Bulk,Sr_Bulk,Mo_Bulk,Cd_Bulk,Cs_Bulk,Ba_Bulk,La_Bulk,Ce_Bulk,Nd_Bulk,Sm_Bulk,Eu_Bulk,Yb_Bulk,Lu_Bulk,Tl_Bulk,Pb_Bulk,U_Bulk
1.0000000000000000e+00,1.0000000000000000e+00,"1BGrCha08060001","CHA",4.0000000000000000e+00,5.0000000000000000e+00,"04/29/09 00:00:00",-3.0225938756234270e-02,3.0290676061146304e-01,2.1325836338519198e+03,7.6342748007478406e+02,3.0679914748092202e+01,1.6098290607537299e+04,9.2114409477906997e+02,1.4258598441218800e-02,3.4492022982663101e-01,7.8041740020296096e-03,1.3859195728021501e-01,3.0902608651658201e+00,2.1833877961530999e+02,1.9783793312297199e-02,-6.7843897829212718e-01,8.5452619700786805e+00,5.4928495150413092e-01,3.3431119325678098e-02,5.4538342403367499e-03,1.1618558418633100e-02,3.0418924559558402e-01,2.8283086207766201e-03,4.8234216813409303e-03,8.0875870586706404e-04,8.4950708676499609e-05,-2.3041039608706908e-04,-2.1851461621594099e-04,-2.7600372280097964e-04,-3.7804250505068870e-04,1.0242558542293201e-01,1.5607484074338000e-04
2.0000000000000000e+00,2.0000000000000000e+00,"1BGrCha08060002","CHA",4.0000000000000000e+00,5.0000000000000000e+00,"05/20/09 00:00:00",1.1502466175715400e-02,4.5588852820687703e-01,1.7987100972511801e+03,9.9169931408747493e+02,3.0076257141415401e+00,2.0892542889157299e+04,1.8118408377609802e+02,1.7685822033314300e-02,1.3262407861489900e-01,1.2729217469106701e-02,1.3521676220203201e-02,1.6007495074008899e+00,1.4552203685803102e+02,1.8639845525308299e-02,-2.6941977411123380e-01,1.2776282393507600e+01,5.9112880585091197e-02,1.6259919719354501e-02,-7.3588693846694236e-03,1.3339129522744400e-02,2.3026271059736200e-02,4.4342927269798297e-04,8.4804479669245804e-04,-7.4188653900060422e-04,-3.4837099728594000e-04,-2.5690513180938983e-04,-2.7323579789258949e-04,-1.0689972871808412e-04,-2.8101332842055761e-04,1.0661112700297400e-02,-2.4774432031834720e-04
3.0000000000000000e+00,3.0000000000000000e+00,"1BGrCha08060003","CHA",4.0000000000000000e+00,5.0000000000000000e+00,"05/20/09 00:00:00",-6.2515655772774018e-03,3.7327946269005902e-01,2.1535420022899202e+03,1.0070834661216401e+03,3.2187762425555100e+00,1.9098043522674601e+04,1.8564386469361600e+02,2.3434130037999601e-02,3.5836271768655897e-01,1.4126650877313301e-02,2.2334021872517498e-01,3.6811786402728797e+00,1.9561080394356702e+02,1.6138047033451102e-02,-2.6941977411123380e-01,1.4108928989470900e+01,8.6413840395840893e-02,2.7285052378894600e-02,-7.3588693846694236e-03,1.2896147898430799e-02,7.3915083941542503e-02,3.8721246474202903e-03,6.0429756839171702e-03,7.7220176485000302e-04,-3.4837099728594000e-04,-2.5690513180938983e-04,-2.7323579789258949e-04,-1.0689972871808412e-04,-2.8101332842055761e-04,6.8410941643308104e-02,-2.4774432031834720e-04
4.0000000000000000e+00,4.0000000000000000e+00,"1BGrCha08060004","CHA",4.0000000000000000e+00,5.0000000000000000e+00,"05/20/09 00:00:00",-6.2515655772774018e-03,1.8066583461813801e-01,2.1654958234123801e+03,8.3568753103186395e+02,2.2778260203157901e+00,1.7479255428984703e+04,1.9550423407516098e+02,-1.7092771926445992e-02,3.3533394030341301e-01,1.6807084462969600e-02,1.7605098330712202e-01,3.0095204867608198e+00,2.3770715294531402e+02,1.4812487543558999e-02,3.0367904021714703e-01,1.2596176018802201e+01,9.6790899121901600e-02,3.4054970095351397e-02,-7.3588693846694236e-03,8.6503879026209197e-03,7.1301823371826209e-02,2.4702116837588602e-03,4.0812300982999003e-03,7.5510095814465290e-04,-3.4837099728594000e-04,-2.5690513180938983e-04,-2.7323579789258949e-04,-1.0689972871808412e-04,4.1835527182466898e-04,5.6779216878902500e-02,-2.4774432031834720e-04
5.0000000000000000e+00,1.0000000000000000e+00,"1BUKCor08010001","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",-1.7662854140611025e-02,-3.7725651095320495e-01,2.8182642473969499e+03,9.4257064895102701e+02,1.0964449742334701e+00,1.7700847963508699e+04,2.6648431799137200e+02,-1.1785501241249755e-02,5.0605483101844906e-01,2.2380712023858402e-02,1.7307181816274098e-02,3.6273848309216099e+00,3.5717150800020300e+02,1.9543038236396800e-02,6.5754342974834201e-01,2.7187301397277302e+01,2.6820552819833804e-01,5.7509130580562701e-02,-2.2798991457957697e-03,5.0130311649164994e-01,7.6149669947948792e-02,3.3761916247114699e-04,1.2104274479228000e-03,-7.7233565727603890e-04,-3.4542845134702182e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,1.0117766559389201e-04,2.6779033591934798e-03,7.2301832565334900e-03,-9.1153143802060022e-05
6.0000000000000000e+00,2.0000000000000000e+00,"1BUKCor08010002","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",1.6156104388819998e+00,5.7311141768690508e+00,3.3313268376076903e+03,6.3267614367976603e+02,2.0400340684177401e+01,1.1799544647685399e+04,4.1031608030479697e+02,-1.1785501241249755e-02,6.1806049816974806e-01,9.5699993079179299e-03,1.7685436603434499e-02,2.6850791044813800e+00,2.3848652263379699e+02,1.6224368183808801e-02,3.7613223317341699e-01,2.1149495225726898e+01,1.0128211169345300e+00,3.2018091140544797e-02,3.9627507514857496e-02,1.1279179846435700e-01,4.0826954824929302e+01,4.8851915844161195e-02,1.2968503321843200e-01,2.0377461750358702e-02,1.1133603477649901e-02,6.4314061141063803e-03,5.5901394099932904e-04,1.9158503054105000e-04,2.5818490220737502e-03,1.5990553289713101e+00,2.5560266101091900e-03
7.0000000000000000e+00,3.0000000000000000e+00,"1BUKCor08010003","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",-1.7662854140611025e-02,-3.7725651095320495e-01,2.2390540711045696e+03,9.2839537868257605e+02,1.3338712616980000e+00,1.7353409396873103e+04,1.7821810596414900e+02,1.4161244571297200e-02,5.1101231815029902e-01,9.2870586378789796e-03,5.1248560449719503e-03,3.4028564298968900e+00,2.9966089557829804e+02,1.9706037198792999e-02,5.8388682560442395e-01,2.0083379765916000e+01,1.2036383411851899e-01,4.6606146970765205e-02,-2.2798991457957697e-03,8.8591390751652399e-02,9.2735926458916595e-02,1.0040340497450800e-03,6.7906732157627502e-03,8.0631405285051707e-04,-3.4542845134702182e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,6.5288651359863699e-05,5.3731446934519997e-04,5.6470003482191299e-03,-9.1153143802060022e-05
8.0000000000000000e+00,4.0000000000000000e+00,"1BUKCor08020001","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",1.8507073302757700e-02,-3.7725651095320495e-01,2.8283322399636800e+03,1.0299338268592298e+03,9.1280287623028800e-01,1.8730440721756997e+04,2.7135589232257001e+02,-1.1785501241249755e-02,5.4835955502845302e-01,9.1545984025450406e-03,7.3858590758804398e-03,4.3166856953462602e+00,3.7608237349042804e+02,2.0270011392180598e-02,5.8532388021026605e-01,3.4990190128144100e+01,2.4704427383871899e-01,4.4378071327912404e-02,-2.2798991457957697e-03,1.0752193465900600e-01,8.3094748197686891e-02,5.9608866062323498e-04,1.2060087313441401e-03,-7.7233565727603890e-04,-3.4542845134702182e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,4.4263944669396804e-05,7.7631126001448804e-04,8.4808005565512601e-03,-9.1153143802060022e-05
9.0000000000000000e+00,5.0000000000000000e+00,"1BUKCor08020002","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",-1.7662854140611025e-02,-3.7725651095320495e-01,2.4564423548273899e+03,7.4431176709006797e+02,1.1620005468721599e+00,1.3632157865839099e+04,3.3213582426664198e+02,1.3301277012677500e-02,4.7044973238492599e-01,4.6967333245819306e-03,4.5059841031995201e-02,3.4070177094150700e+00,2.4152771819549500e+02,1.6480674007177398e-02,4.3435824610916202e-01,2.3410779475124297e+01,3.0201184396816699e-01,4.6261389963998201e-02,-2.2798991457957697e-03,5.4545917436240300e-02,4.2095936673966600e-01,1.2204455634571101e-03,4.1595777562158402e-03,-7.7233565727603890e-04,-3.4542845134702182e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,5.7813699883895702e-05,7.9514102570659492e-04,7.2204711640365099e-02,1.1077831050185299e-04
1.0000000000000000e+01,6.0000000000000000e+00,"1BUKCor08050001","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",6.9335471030673801e-01,2.6294988566547599e+00,3.0900736564934400e+03,9.6507652419472197e+02,1.4936980347824900e+01,1.8644859784795499e+04,3.0631856965699001e+02,1.3113291379484601e-02,6.2830928228251803e-01,7.1474969681444601e-03,2.3302240326713498e-02,3.4860500433053598e+00,2.5634089474840403e+02,2.4096181919741898e-02,2.3109217774115501e-01,3.9660617663231299e+01,5.1348951406582000e-01,3.8254500419521401e-02,1.2944391819530500e-02,2.4541681704909399e-01,8.3502653150076203e+00,2.3887589990483002e-02,1.0356727881560100e-01,1.1160335353031700e-02,3.1972725370925498e-03,1.7603265320073000e-03,4.8848502937532106e-04,1.0021116333704500e-04,1.2308807448016702e-03,6.5078166528347692e-01,1.5196715356826400e-03
