ID,NR,TraceSampleCode,Region,RegionNo,d15N,LabNo
1.0000000000000000e+00,1.0000000000000000e+00,"BBar 001","BAR",2.0000000000000000e+00,7.8700000000000001e+00,
2.0000000000000000e+00,2.0000000000000000e+00,"BBar 002","BAR",2.0000000000000000e+00,7.4100000000000001e+00,
3.0000000000000000e+00,3.0000000000000000e+00,"BBar 003","BAR",2.0000000000000000e+00,7.2599999999999998e+00,
4.0000000000000000e+00,4.0000000000000000e+00,"BBar 004","BAR",2.0000000000000000e+00,7.0499999999999998e+00,
5.0000000000000000e+00,5.0000000000000000e+00,"BBar 005","BAR",2.0000000000000000e+00,6.3300000000000001e+00,
6.0000000000000000e+00,6.0000000000000000e+00,"BBar 006","BAR",2.0000000000000000e+00,7.2999999999999998e+00,
7.0000000000000000e+00,7.0000000000000000e+00,"BBar 007","BAR",2.0000000000000000e+00,6.2700000000000005e+00,
8.0000000000000000e+00,8.0000000000000000e+00,"BBar 008","BAR",2.0000000000000000e+00,7.0200000000000005e+00,
9.0000000000000000e+00,9.0000000000000000e+00,"BBar 009","BAR",2.0000000000000000e+00,6.5000000000000000e+00,
1.0000000000000000e+01,1.0000000000000000e+01,"BBar 010","BAR",2.0000000000000000e+00,6.8500000000000005e+00,
1.1000000000000000e+01,1.1000000000000000e+01,"BBar 011","BAR",2.0000000000000000e+00,6.1799999999999997e+00,
1.2000000000000000e+01,1.2000000000000000e+01,"BBar 011","BAR",2.0000000000000000e+00,6.6900000000000004e+00,
1.3000000000000000e+01,1.3000000000000000e+01,"BBar 012","BAR",2.0000000000000000e+00,7.0200000000000005e+00,
1.4000000000000000e+01,1.4000000000000000e+01,"BBar 013","BAR",2.0000000000000000e+00,6.1600000000000001e+00,
1.5000000000000000e+01,1.5000000000000000e+01,"BBar 014","BAR",2.0000000000000000e+00,6.6200000000000001e+00,
1.6000000000000000e+01,1.0000000000000000e+00,"1BGrCha08060001","CHA",4.0000000000000000e+00,6.6000000000000005e+00,
1.7000000000000000e+01,2.0000000000000000e+00,"1BGrCha08060002","CHA",4.0000000000000000e+00,3.0000000000000000e+00,
1.8000000000000000e+01,3.0000000000000000e+00,"1BGrCha08060003","CHA",4.0000000000000000e+00,3.6000000000000001e+00,
1.9000000000000000e+01,4.0000000000000000e+00,"1BGrCha08060004","CHA",4.0000000000000000e+00,4.0000000000000000e+00,
2.0000000000000000e+01,1.0000000000000000e+00,"1BUKCor0801001","COR",5.0000000000000000e+00,7.9600000000000000e+00,
2.1000000000000000e+01,2.0000000000000000e+00,"1BUKCor0801002","COR",5.0000000000000000e+00,7.9500000000000002e+00,
2.2000000000000000e+01,3.0000000000000000e+00,"1BUKCor0801003","COR",5.0000000000000000e+00,9.5500000000000007e+00,
2.3000000000000000e+01,4.0000000000000000e+00,"1BUKCor0802001","COR",5.0000000000000000e+00,7.7500000000000000e+00,
2.4000000000000000e+01,5.0000000000000000e+00,"1BUKCor0802002","COR",5.0000000000000000e+00,7.2300000000000004e+00,
2.5000000000000000e+01,6.0000000000000000e+00,"1BUKCor0805001","COR",5.0000000000000000e+00,8.1199999999999992e+00,
2.6000000000000000e+01,7.0000000000000000e+00,"1BUKCor0805002","COR",5.0000000000000000e+00,8.9600000000000009e+00,
2.7000000000000000e+01,8.0000000000000000e+00,"1BUKCor0805003","COR",5.0000000000000000e+00,8.4299999999999997e+00,
2.8000000000000000e+01,9.0000000000000000e+00,"1BUKCor0805004","COR",5.0000000000000000e+00,7.3600000000000003e+00,
2.9000000000000000e+01,1.0000000000000000e+01,"1BUKCor0805005","COR",5.0000000000000000e+00,6.0499999999999998e+00,
3.0000000000000000e+01,1.1000000000000000e+01,"1BUKCor0809001","COR",5.0000000000000000e+00,6.1299999999999999e+00,
3.1000000000000000e+01,1.2000000000000000e+01,"1BUKCor0809002","COR",5.0000000000000000e+00,8.1699999999999999e+00,
3.2000000000000000e+01,1.3000000000000000e+01,"1BUKCor0809003","COR",5.0000000000000000e+00,6.2599999999999998e+00,
3.3000000000000000e+01,1.4000000000000000e+01,"1BUKCor0809004","COR",5.0000000000000000e+00,8.1199999999999992e+00,
3.4000000000000000e+01,1.5000000000000000e+01,"1BUKCor0810001","COR",5.0000000000000000e+00,7.7199999999999998e+00,
3.5000000000000000e+01,1.6000000000000000e+01,"1BUKCor0811001","COR",5.0000000000000000e+00,8.6199999999999992e+00,
3.6000000000000000e+01,1.7000000000000000e+01,"1BUKCor0811002","COR",5.0000000000000000e+00,5.8100000000000005e+00,
3.7000000000000000e+01,1.8000000000000000e+01,"1BUKCor0811003","COR",5.0000000000000000e+00,8.2100000000000009e+00,
3.8000000000000000e+01,1.9000000000000000e+01,"1BUKCor0811004","COR",5.0000000000000000e+00,8.1099999999999994e+00,
3.9000000000000000e+01,2.0000000000000000e+01,"1BUKCor0812001","COR",5.0000000000000000e+00,7.4100000000000001e+00,
4.0000000000000000e+01,1.0000000000000000e+00,"1BDeFra06090001","FRA",6.0000000000000000e+00,5.7999999999999998e+00,
4.1000000000000000e+01,2.0000000000000000e+00,"1BDeFra06090002","FRA",6.0000000000000000e+00,7.0000000000000000e+00,
4.2000000000000000e+01,3.0000000000000000e+00,"1BDeFra06090003","FRA",6.0000000000000000e+00,6.9000000000000004e+00,
4.3000000000000000e+01,4.0000000000000000e+00,"1BDeFra06090004","FRA",6.0000000000000000e+00,5.0999999999999996e+00,
4.4000000000000000e+01,5.0000000000000000e+00,"1BDeFra06090005","FRA",6.0000000000000000e+00,4.2000000000000002e+00,
4.5000000000000000e+01,6.0000000000000000e+00,"1BDeFra06090006","FRA",6.0000000000000000e+00,4.5999999999999996e+00,
4.6000000000000000e+01,7.0000000000000000e+00,"1BDeFra06090007","FRA",6.0000000000000000e+00,5.2999999999999998e+00,
4.7000000000000000e+01,8.0000000000000000e+00,"1BDeFra06090008","FRA",6.0000000000000000e+00,6.0000000000000000e+00,
4.8000000000000000e+01,9.0000000000000000e+00,"1BDeFra06090009","FRA",6.0000000000000000e+00,4.9000000000000004e+00,
4.9000000000000000e+01,1.0000000000000000e+01,"1BDeFra06090010","FRA",6.0000000000000000e+00,5.7999999999999998e+00,
5.0000000000000000e+01,1.1000000000000000e+01,"1BDeFra06090011","FRA",6.0000000000000000e+00,4.0999999999999996e+00,
5.1000000000000000e+01,1.2000000000000000e+01,"1BDeFra06090012","FRA",6.0000000000000000e+00,6.5000000000000000e+00,
5.2000000000000000e+01,1.3000000000000000e+01,"1BDeFra06090013","FRA",6.0000000000000000e+00,5.5000000000000000e+00,
5.3000000000000000e+01,1.4000000000000000e+01,"1BDeFra06090014","FRA",6.0000000000000000e+00,6.6000000000000005e+00,
5.4000000000000000e+01,1.5000000000000000e+01,"1BDeFra06090015","FRA",6.0000000000000000e+00,7.1000000000000005e+00,
5.5000000000000000e+01,1.6000000000000000e+01,"1BDeFra06090016","FRA",6.0000000000000000e+00,6.2999999999999998e+00,
5.6000000000000000e+01,1.7000000000000000e+01,"1BDeFra06090017","FRA",6.0000000000000000e+00,7.7999999999999998e+00,
5.7000000000000000e+01,1.8000000000000000e+01,"1BDeFra06090018","FRA",6.0000000000000000e+00,6.7999999999999998e+00,
5.8000000000000000e+01,1.9000000000000000e+01,"1BDeFra06090019","FRA",6.0000000000000000e+00,6.2000000000000002e+00,
5.9000000000000000e+01,2.0000000000000000e+01,"1BDeFra06090020","FRA",6.0000000000000000e+00,7.0000000000000000e+00,
6.0000000000000000e+01,1.0000000000000000e+00,"1BDeGau08090001","GAU",8.0000000000000000e+00,7.1000000000000005e+00,
6.1000000000000000e+01,2.0000000000000000e+00,"1BDeGau08090002","GAU",8.0000000000000000e+00,6.4000000000000004e+00,
6.2000000000000000e+01,3.0000000000000000e+00,"1BDeGau08090003","GAU",8.0000000000000000e+00,7.0000000000000000e+00,
6.3000000000000000e+01,4.0000000000000000e+00,"1BDeGau08100004","GAU",8.0000000000000000e+00,6.1000000000000005e+00,
6.4000000000000000e+01,5.0000000000000000e+00,"1BDeGau08100005","GAU",8.0000000000000000e+00,7.2000000000000002e+00,
6.5000000000000000e+01,6.0000000000000000e+00,"1BDeGau08100006","GAU",8.0000000000000000e+00,5.6000000000000005e+00,
6.6000000000000000e+01,7.0000000000000000e+00,"1BDeGau08100007","GAU",8.0000000000000000e+00,6.9000000000000004e+00,
6.7000000000000000e+01,8.0000000000000000e+00,"1BDeGau08100008","GAU",8.0000000000000000e+00,5.4000000000000004e+00,
6.8000000000000000e+01,9.0000000000000000e+00,"1BDeGau08100009","GAU",8.0000000000000000e+00,5.9000000000000004e+00,
6.9000000000000000e+01,1.0000000000000000e+01,"1BDeGau08100010","GAU",8.0000000000000000e+00,4.4000000000000004e+00,
7.0000000000000000e+01,1.1000000000000000e+01,"1BDeGau08100011","GAU",8.0000000000000000e+00,5.2000000000000002e+00,
7.1000000000000000e+01,1.2000000000000000e+01,"1BDeGau08100012","GAU",8.0000000000000000e+00,8.0999999999999996e+00,
7.2000000000000000e+01,1.3000000000000000e+01,"1BDeGau08100013","GAU",8.0000000000000000e+00,6.2000000000000002e+00,
7.3000000000000000e+01,1.4000000000000000e+01,"1BDeGau08110014","GAU",8.0000000000000000e+00,7.4000000000000004e+00,
7.4000000000000000e+01,1.5000000000000000e+01,"1BDeGau08110015","GAU",8.0000000000000000e+00,5.4000000000000004e+00,
7.5000000000000000e+01,1.6000000000000000e+01,"1BDeGau08110016","GAU",8.0000000000000000e+00,6.2999999999999998e+00,
7.6000000000000000e+01,1.7000000000000000e+01,"1BDeGau08120017","GAU",8.0000000000000000e+00,5.7999999999999998e+00,
7.7000000000000000e+01,1.8000000000000000e+01,"1BDeGau08120018","GAU",8.0000000000000000e+00,6.2000000000000002e+00,
7.8000000000000000e+01,1.9000000000000000e+01,"1BDeGau08120019","GAU",8.0000000000000000e+00,5.9000000000000004e+00,
7.9000000000000000e+01,2.0000000000000000e+01,"1BDeGau08120020","GAU",8.0000000000000000e+00,6.2999999999999998e+00,
