ID,NR,TraceSampleCode,Region,RegionNo,d2H,LabNo
1.0000000000000000e+00,1.0000000000000000e+00,"BBar 001","BAR",2.0000000000000000e+00,-1.0000000000000000e+02,
2.0000000000000000e+00,2.0000000000000000e+00,"BBar 002","BAR",2.0000000000000000e+00,-9.2000000000000000e+01,
3.0000000000000000e+00,3.0000000000000000e+00,"BBar 003","BAR",2.0000000000000000e+00,-1.0000000000000000e+02,
4.0000000000000000e+00,4.0000000000000000e+00,"BBar 004","BAR",2.0000000000000000e+00,-9.6000000000000000e+01,
5.0000000000000000e+00,5.0000000000000000e+00,"BBar 005","BAR",2.0000000000000000e+00,-9.9000000000000000e+01,
6.0000000000000000e+00,6.0000000000000000e+00,"BBar 006","BAR",2.0000000000000000e+00,-1.0000000000000000e+02,
7.0000000000000000e+00,7.0000000000000000e+00,"BBar 007","BAR",2.0000000000000000e+00,-9.2000000000000000e+01,
8.0000000000000000e+00,8.0000000000000000e+00,"BBar 008","BAR",2.0000000000000000e+00,-9.4000000000000000e+01,
9.0000000000000000e+00,9.0000000000000000e+00,"BBar 009","BAR",2.0000000000000000e+00,-9.5000000000000000e+01,
1.0000000000000000e+01,1.0000000000000000e+01,"BBar 010","BAR",2.0000000000000000e+00,-9.9000000000000000e+01,
1.1000000000000000e+01,1.1000000000000000e+01,"BBar 011","BAR",2.0000000000000000e+00,-9.2000000000000000e+01,
1.2000000000000000e+01,1.2000000000000000e+01,"BBar 011","BAR",2.0000000000000000e+00,-1.0100000000000000e+02,
1.3000000000000000e+01,1.3000000000000000e+01,"BBar 012","BAR",2.0000000000000000e+00,-9.4000000000000000e+01,
1.4000000000000000e+01,1.4000000000000000e+01,"BBar 013","BAR",2.0000000000000000e+00,-9.8000000000000000e+01,
1.5000000000000000e+01,1.5000000000000000e+01,"BBar 014","BAR",2.0000000000000000e+00,-1.0300000000000000e+02,
1.6000000000000000e+01,1.0000000000000000e+00,"1BGrCha08060001","CHA",4.0000000000000000e+00,-8.7000000000000000e+01,
1.7000000000000000e+01,2.0000000000000000e+00,"1BGrCha08060002","CHA",4.0000000000000000e+00,-1.0200000000000000e+02,
1.8000000000000000e+01,3.0000000000000000e+00,"1BGrCha08060003","CHA",4.0000000000000000e+00,-1.0400000000000000e+02,
1.9000000000000000e+01,4.0000000000000000e+00,"1BGrCha08060004","CHA",4.0000000000000000e+00,-1.0300000000000000e+02,
2.0000000000000000e+01,1.0000000000000000e+00,"1BUKCor0801001","COR",5.0000000000000000e+00,-9.0790000000000006e+01,
2.1000000000000000e+01,2.0000000000000000e+00,"1BUKCor0801002","COR",5.0000000000000000e+00,-9.2170000000000002e+01,
2.2000000000000000e+01,3.0000000000000000e+00,"1BUKCor0801003","COR",5.0000000000000000e+00,-8.9230000000000004e+01,
2.3000000000000000e+01,4.0000000000000000e+00,"1BUKCor0802001","COR",5.0000000000000000e+00,-8.7640000000000001e+01,
2.4000000000000000e+01,5.0000000000000000e+00,"1BUKCor0802002","COR",5.0000000000000000e+00,-8.9219999999999999e+01,
2.5000000000000000e+01,6.0000000000000000e+00,"1BUKCor0805001","COR",5.0000000000000000e+00,-8.6000000000000000e+01,
2.6000000000000000e+01,7.0000000000000000e+00,"1BUKCor0805002","COR",5.0000000000000000e+00,-8.9260000000000005e+01,
2.7000000000000000e+01,8.0000000000000000e+00,"1BUKCor0805003","COR",5.0000000000000000e+00,-9.1950000000000003e+01,
2.8000000000000000e+01,9.0000000000000000e+00,"1BUKCor0805004","COR",5.0000000000000000e+00,-9.2840000000000003e+01,
2.9000000000000000e+01,1.0000000000000000e+01,"1BUKCor0805005","COR",5.0000000000000000e+00,-9.0210000000000008e+01,
3.0000000000000000e+01,1.1000000000000000e+01,"1BUKCor0809001","COR",5.0000000000000000e+00,-9.3340000000000003e+01,
3.1000000000000000e+01,1.2000000000000000e+01,"1BUKCor0809002","COR",5.0000000000000000e+00,-9.0070000000000007e+01,
3.2000000000000000e+01,1.3000000000000000e+01,"1BUKCor0809003","COR",5.0000000000000000e+00,-9.1280000000000001e+01,
3.3000000000000000e+01,1.4000000000000000e+01,"1BUKCor0809004","COR",5.0000000000000000e+00,-8.8379999999999995e+01,
3.4000000000000000e+01,1.5000000000000000e+01,"1BUKCor0811001","COR",5.0000000000000000e+00,-8.8370000000000005e+01,
3.5000000000000000e+01,1.6000000000000000e+01,"1BUKCor0811002","COR",5.0000000000000000e+00,-8.9760000000000005e+01,
