Sample type,Harvest year,Lab code,Short code,Origin,Country,18O,13C,15N,34S,Na,Mg,Al,P,S,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd,Cs,Ba,Hg,Pb
Strawberry,2018,JAG-18-04,S-18-04,Authentic SLO,Slovenia,-3.77985611600834,-25.9120515069911,3.77140368921803,3.55661101443304,3.49,1.49,28.77,1.60,0.67,14.22,0.94,5.13,4.00,20.44,15.73,71.26,97.83,3.71,7.85,7.45,4.36,9.74,2.31,127.41,8.34,11.61,4.44,0.2,5.2
Strawberry,2018,JAG-18-05,S-18-05,Authentic SLO,Slovenia,-3.55221235445454,-27.3521800117626,4.23057581644742,3.92343873345243,4.08,1.50,33.15,1.65,0.66,14.95,0.88,8.26,4.00,23.25,18.64,92.30,128.25,4.19,7.72,3.69,11.30,10.47,2.41,131.09,11.06,9.54,4.83,0.22,13
Strawberry,2018,JAG-18-06,S-18-06,Authentic SLO,Slovenia,-4.0601709351503,-27.1791832249621,3.2241708849495,3.8747333353336,5.86,1.53,17.05,1.54,0.63,17.88,0.95,4.04,4.00,17.07,17.24,56.87,105.40,3.81,6.26,4.26,11.44,10.57,2.59,125.79,28.32,9.46,6.01,28.6,5.07
Strawberry,2018,JAG-18-07,S-18-07,Authentic SLO,Slovenia,-4.46370255328177,-27.1653777561241,4.635559543312,3.56425422677476,3.84,1.44,22.74,1.54,0.65,14.11,0.86,4.36,4.00,16.76,31.88,76.02,75.19,3.05,6.85,5.76,1.37,8.24,1.66,134.16,54.14,6.88,2.62,0.37,0.24
Strawberry,2018,JAG-18-08,S-18-08,Authentic SLO,Slovenia,-4.01849854829076,-26.0715954301321,5.07249180151109,3.93106083163303,3.85,1.31,29.43,1.70,0.62,14.66,1.07,5.25,4.00,18.20,15.10,58.86,32.78,3.05,5.43,1.50,15.74,11.04,3.04,193.40,5.36,8.49,3.97,0.2,0.56
Strawberry,2018,JAG-18-09,S-18-09,Authentic SLO,Slovenia,1.83741866079872,-26.8962156048505,3.74885546445398,5.58765154719932,7.50,1.31,27.49,1.74,0.77,14.47,1.35,7.87,4.00,26.08,18.52,57.84,244.79,5.44,6.98,2.15,10.81,5.96,1.97,778.81,21.17,2.57,3.83,0.21,5.99
Strawberry,2018,JAG-18-10,S-18-10,Authentic SLO,Slovenia,4.21825342177921,-26.1349875736151,0.298543774896665,6.2543355275835,12.05,1.25,51.22,1.47,0.71,12.19,1.41,13.32,4.00,28.36,23.58,52.68,354.28,3.77,4.86,1.50,3.40,3.55,5.18,96.29,3.71,3.43,6.62,0.12,11.5
Strawberry,2018,JAG-18-11,S-18-11,Authentic SLO,Slovenia,2.84799049345623,-27.511505687071,5.57372891295928,3.09949974540719,31.38,1.11,20.91,1.89,0.65,9.18,1.54,9.47,4.00,9.79,12.84,65.46,39.91,3.40,5.73,4.74,13.18,3.16,5.32,263.26,3.29,14.48,2.77,24.3,8.15
Strawberry,2018,JAG-18-12,S-18-12,Authentic SLO,Slovenia,2.79681862285637,-27.4761461966205,3.14045057705038,4.81135933445645,10.10,1.44,23.39,1.76,0.63,10.73,1.51,9.55,0.27,30.07,16.05,87.80,553.20,3.48,6.57,3.55,1.62,4.33,5.61,82.63,33.12,9.44,8.02,0.83,3.59
Strawberry,2018,JAG-18-13,S-18-13,Authentic SLO,Slovenia,1.81766679239677,-25.7054042920124,4.98917287339519,2.27909275426283,21.99,1.28,18.69,1.57,0.70,10.90,1.70,6.65,4.00,13.16,18.09,58.07,137.16,2.80,9.37,9.62,2.24,7.03,6.61,171.05,24.33,50.46,8.99,0.71,5.5
Strawberry,2018,JAG-18-14,S-18-14,Authentic SLO,Slovenia,2.18861644629519,-27.6676680619032,1.98074086517125,4.85390851961018,10.69,1.36,24.80,2.21,0.76,14.30,1.09,4.63,4.00,21.98,21.44,54.89,234.48,5.00,8.99,1.88,5.32,8.20,2.04,259.56,25.70,4.69,10.61,0.16,7.5
Strawberry,2018,JAG-18-15,S-18-15,Authentic SLO,Slovenia,1.93997164570515,-26.0981503573415,3.51698849980441,4.0249530280087,13.79,1.64,62.64,1.64,0.56,17.71,1.07,108.09,50.40,21.92,63.58,95.71,170.39,2.99,6.78,16.15,0.59,2.57,5.68,85.41,71.91,6.26,10.30,6.24,34.5
Strawberry,2018,JAG-18-17,S-18-17,Authentic SLO,Slovenia,-0.104815391446038,-26.3481446443982,0.827528250241928,2.10614732058922,11.40,1.33,55.98,2.06,0.86,12.21,1.66,20.73,8.40,31.32,23.73,75.17,948.27,5.27,8.48,1.84,2.35,4.00,8.18,125.01,45.56,6.62,7.17,0.54,12.4
Strawberry,2018,JAG-18-18,S-18-18,Authentic SLO,Slovenia,-2.6994479545418,-24.5465342540897,0.939510848090001,5.47213596956961,43.11,1.80,70.83,2.04,0.83,16.49,1.57,26.98,30.36,37.88,19.76,64.87,1038.01,5.20,23.89,8.08,5.91,7.05,6.76,137.56,204.94,5.74,16.90,0.72,33.1
Strawberry,2018,JAG-18-19,S-18-19,Authentic SLO,Slovenia,-2.57253658184166,-26.8374585376491,1.19340687706979,5.3837225697836,30.25,1.33,47.81,1.53,0.83,9.97,1.35,15.20,2.01,11.69,16.05,27.86,6.49,4.30,6.66,4.90,2.40,8.42,2.15,775.99,11.36,41.97,6.06,0.13,8.64
Strawberry,2018,JAG-18-21,S-18-21,Authentic SLO,Slovenia,-3.37090396457319,-26.7934458636261,4.08587119927349,4.09765642990825,10.33,1.39,49.72,1.60,0.77,15.37,1.41,13.96,0.05,12.66,13.15,61.39,216.08,1.62,5.94,13.07,8.92,0.61,5.46,598.22,1.97,1.49,2.62,0.43,12
Strawberry,2018,JAG-18-22,S-18-22,Authentic SLO,Slovenia,-2.19837236089416,-26.1228971749009,3.71716891861903,6.25843617540784,8.16,1.48,47.22,1.53,0.59,13.69,1.74,10.50,43.32,56.48,18.04,45.39,338.47,3.36,7.73,8.25,6.68,6.58,4.77,42.15,119.25,3.47,10.36,0.65,1.74
Strawberry,2018,JAG-18-23,S-18-23,Authentic SLO,Slovenia,-1.36612299411733,-25.6129748463018,1.30955843264268,2.10022948323291,5.78,1.33,36.46,1.85,0.75,10.99,1.70,7.86,4.00,18.88,11.63,60.94,79.19,3.85,10.54,5.14,0.57,3.61,3.47,206.35,5.01,9.34,3.80,0.1,5.71
Strawberry,2018,JAG-18-24,S-18-24,Authentic SLO,Slovenia,0.473831971298786,-26.0212306917435,6.64803748833743,3.89392486034898,4.79,1.29,38.81,1.86,0.52,14.17,1.31,8.28,4.00,22.68,15.49,37.02,326.94,3.28,5.79,6.43,2.12,1.90,4.63,134.43,22.77,2.78,9.05,0.11,2.91
Strawberry,2018,JAG-18-25,S-18-25,Authentic SLO,Slovenia,-1.06645621052265,-26.5467191447461,1.94714845154481,4.52030531044021,15.09,1.82,48.70,2.11,0.77,18.26,2.02,11.38,4.00,21.63,20.92,15.17,141.63,2.91,9.76,4.47,16.05,4.76,4.52,463.73,7.84,2.94,22.14,0.09,5.67
Strawberry,2018,JAG-18-26,S-18-26,Authentic SLO,Slovenia,-2.98146871498144,-27.4912463246939,1.10835637690512,2.50854408719172,22.23,1.76,44.78,2.36,0.86,23.77,1.07,14.94,4.00,15.98,20.69,78.05,64.79,3.24,6.63,39.25,18.30,2.37,3.21,551.40,7.40,2.14,6.13,0.86,10.5
Strawberry,2018,JAG-18-27,S-18-27,Authentic SLO,Slovenia,0.0516948464494977,-26.0688217477868,3.57112814636022,3.34134018161125,2.24,1.60,64.49,1.98,0.66,14.27,1.85,17.06,4.00,27.75,17.80,58.35,61.60,3.03,7.68,12.77,8.21,10.60,4.09,158.81,17.33,7.66,5.67,0.25,18.5
Strawberry,2018,JAG-18-28,S-18-28,Authentic SLO,Slovenia,0.421749701067652,-26.2604942418529,4.83794064563509,5.38147500188077,7.69,1.60,54.66,2.02,0.80,11.04,1.37,14.78,4.00,18.15,18.06,64.31,20.00,2.78,6.44,14.48,19.02,2.12,3.02,352.12,0.21,2.06,2.40,0.2,7.86
Strawberry,2018,JAG-18-29,S-18-29,Authentic SLO,Slovenia,2.08937478417459,-25.6438673185231,5.34729368650243,4.68714940187958,8.32,1.31,38.77,1.41,0.52,13.37,1.20,10.95,4.00,19.80,18.62,28.12,154.33,2.11,5.31,7.36,2.25,3.57,3.10,152.87,12.21,5.36,5.26,0.25,1.07
Strawberry,2018,JAG-18-30,S-18-30,Authentic SLO,Slovenia,0.483797031979097,-26.436621338212,1.55991434499595,4.78647531424611,13.35,1.45,45.78,1.79,0.71,12.49,1.21,19.91,2.87,19.86,21.64,29.96,61.05,3.13,7.98,6.02,1.79,7.09,2.12,376.11,12.28,4.73,3.09,0.16,7.36
Strawberry,2018,JAG-18-31,S-18-31,Authentic SLO,Slovenia,-0.584469672002033,-25.9626216926975,1.97608539505008,1.70053706037042,20.16,1.58,41.42,1.75,0.67,12.28,0.96,12.64,25.76,9.32,9.21,22.71,20.00,1.51,8.41,34.79,2.51,3.88,1.18,1031.18,424.96,10.46,5.53,0.49,520
Strawberry,2018,JAG-18-32,S-18-32,Authentic SLO,Slovenia,0.110322070388474,-25.6824886991676,2.72370480538576,4.72890269577162,18.50,1.38,65.77,1.77,0.66,13.77,1.47,35.12,30.16,24.54,21.61,95.57,452.83,3.07,11.59,3.55,4.42,1.66,4.39,98.27,77.94,1.85,11.38,0.85,13
Strawberry,2018,JAG-18-34,S-18-34,Authentic SLO,Slovenia,0.996786216408179,-25.6682971870145,3.91637182885063,4.99176345348763,6.56,1.07,79.11,1.62,0.55,10.64,1.84,28.39,11.48,14.68,15.78,121.64,3.59,2.65,5.38,14.90,23.30,3.78,7.93,546.17,6.84,10.89,2.76,0.34,25.6
Strawberry,2018,JAG-18-35,S-18-35,Authentic SLO,Slovenia,-0.716688784417124,-25.6610809571907,3.51213494027412,3.74351332634834,6.01,1.31,61.65,1.63,0.59,11.67,1.92,16.33,4.00,15.83,15.06,39.19,111.96,3.07,5.02,12.52,7.57,1.95,9.40,135.49,13.14,10.79,10.04,0.08,12.3
Strawberry,2018,JAG-18-36,S-18-36,Authentic SLO,Slovenia,-0.532596055467949,-25.0078837784597,4.93226088978224,5.48713635775507,3.64,1.60,29.00,1.53,0.56,13.95,1.40,8.69,4.00,16.70,19.08,42.97,27.18,3.20,6.68,13.21,1.79,3.23,3.26,253.30,7.02,3.14,5.38,0.09,7.5
Strawberry,2018,JAG-18-37,S-18-37,Authentic SLO,Slovenia,-2.03925312785671,-26.6436710666437,3.03039695471987,1.04648975721721,16.38,1.77,25.25,2.20,0.79,16.05,2.11,6.52,4.00,26.14,24.03,73.87,201.41,3.21,8.89,10.26,1.25,6.57,4.98,74.62,90.27,4.99,7.69,2.12,4.01
Strawberry,2018,JAG-18-38,S-18-38,Authentic SLO,Slovenia,-0.756872373945903,-27.149596088135,2.48447813530255,3.20463774572464,7.56,1.10,30.26,1.61,0.51,10.06,1.43,8.80,4.00,20.60,17.57,35.46,1072.68,3.83,7.36,4.03,7.73,3.77,5.07,63.95,171.70,7.49,12.19,0.4,2.07
Strawberry,2018,JAG-18-39,S-18-39,Authentic SLO,Slovenia,-2.69920067632892,-27.2904597525081,5.24755244052647,3.55142088470348,13.69,1.47,22.90,2.01,0.76,12.08,1.42,3.84,4.00,16.58,19.89,37.67,756.36,4.13,6.89,5.76,15.47,4.04,4.04,271.63,13.65,15.93,5.29,0.2,7.5
Strawberry,2018,JAG-18-40,S-18-40,Authentic SLO,Slovenia,0.564799561940586,-26.390017829646,5.32265612232972,5.37240203274222,2.95,1.40,21.54,1.71,0.52,12.24,1.75,5.87,4.00,16.91,14.57,116.63,20.00,3.46,4.85,3.33,7.71,2.30,1.66,342.03,13.17,2.27,3.68,0.04,0.14
Strawberry,2018,JAG-18-41,S-18-41,Authentic SLO,Slovenia,-0.162675865197732,-25.77206817618,4.1103039953783,2.71187833212073,7.56,1.59,47.88,2.13,0.67,15.12,1.83,14.00,17.94,25.87,16.89,63.22,141.68,2.72,5.89,2.79,1.42,1.86,3.34,88.79,96.65,1.98,8.35,0.28,20.2
Strawberry,2019,JAG-19-13,S-19-13,Authentic SLO,Slovenia,-4.24,-27.86,2.25,1.70,9.87,0.883,9.55,1.19,0.543,9.57,1.14,23,55,14,14.1,31.3,225,4.8,6.19,2.5,2.03,1.93,4.84,76.9,14.8,2.28,7.93,0.415,6.75
Strawberry,2019,JAG-19-14,S-19-14,Authentic SLO,Slovenia,-5.09,-27.94,2.55,1.43,39.4,0.833,8.53,1.54,0.645,11.1,0.924,1.35,27.1,17.7,9.05,62.3,147,4.13,4.65,1.13,1.76,0.825,1.87,265,1.24,1.16,2.79,0.3,1
