Sample type,Harvest year,Lab code,Short code,Origin,Country,18O,13C,15N,34S,Na,Mg,Al,P,S,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd,Cs,Ba,Hg,Pb
Strawberry,2018,JAG-18-04,S-18-04,Authentic SLO,Slovenia,-3.779856116,-25.91205151,3.771403689,3.556611014,3.486905566,1.492015547,28.77181479,1.602312626,0.668636719,14.22187134,0.942958045,5.133850172,NaN,20.44329463,15.72790072,71.26325967,97.8304801,3.712941224,7.846976111,7.448336005,4.360401764,9.74264003,2.308180666,127.4067961,8.336259112,11.60694823,4.441569641,NaN,NaN
Strawberry,2018,JAG-18-05,S-18-05,Authentic SLO,Slovenia,-3.552212354,-27.35218001,4.230575816,3.923438733,4.083309423,1.495968162,33.14677115,1.65101256,0.658073486,14.94763777,0.88043032,8.264211071,NaN,23.25350576,18.64020691,92.29604656,128.2457022,4.191623547,7.717825374,3.692305996,11.29925138,10.47203906,2.408636644,131.0945598,11.05740071,9.54179261,4.8324309,NaN,NaN
Strawberry,2018,JAG-18-06,S-18-06,Authentic SLO,Slovenia,-4.060170935,-27.17918322,3.224170885,3.874733335,5.85762388,1.534252478,17.05223948,1.544858727,0.633411415,17.88311837,0.952989192,4.037438312,NaN,17.0671803,17.24078169,56.86696432,105.3996364,3.810006641,6.2584322,4.258006712,11.44423044,10.5728034,2.594445582,125.7921631,28.31537407,9.459053378,6.008814084,28.6,NaN
Strawberry,2018,JAG-18-07,S-18-07,Authentic SLO,Slovenia,-4.463702553,-27.16537776,4.635559543,3.564254227,3.836590879,1.435963097,22.73937796,1.544668777,0.646390437,14.10899688,0.864875421,4.355927857,NaN,16.75671494,31.8800259,76.0151184,75.19202137,3.048200797,6.849432032,5.761033447,NaN,8.238868112,1.664032431,134.1621712,54.13597567,6.88267425,2.617554526,NaN,NaN
Strawberry,2018,JAG-18-08,S-18-08,Authentic SLO,Slovenia,-4.018498548,-26.07159543,5.072491802,3.931060832,3.854590182,1.313191473,29.42925638,1.69603078,0.621966749,14.66261708,1.066376347,5.249390945,NaN,18.19840334,15.09759092,58.85561133,NaN,3.053631563,5.431114302,NaN,15.73934397,11.03677496,3.037254617,193.3997341,5.361713223,8.492715139,3.965637291,NaN,NaN
Strawberry,2018,JAG-18-09,S-18-09,Authentic SLO,Slovenia,1.837418661,-26.8962156,3.748855464,5.587651547,7.49591184,1.306963759,27.49383559,1.744809234,0.772717579,14.46539555,1.348333027,7.873169725,NaN,26.08205206,18.52208654,57.84036,244.7938262,5.443300253,6.981890853,NaN,10.81130459,5.960296129,1.972682791,778.8053532,21.1730334,2.57236282,3.826539896,NaN,NaN
Strawberry,2018,JAG-18-10,S-18-10,Authentic SLO,Slovenia,4.218253422,-26.13498757,0.298543775,6.254335528,12.04634483,1.246951224,51.21832571,1.465407547,0.713040227,12.18730795,1.405009285,13.32053603,NaN,28.36311615,23.57830579,52.67501774,354.2771929,3.769228851,4.856399038,NaN,3.402202713,3.551712438,5.182736572,96.28807585,3.711148586,3.427579052,6.622864771,NaN,NaN
Strawberry,2018,JAG-18-11,S-18-11,Authentic SLO,Slovenia,2.847990493,-27.51150569,5.573728913,3.099499745,31.38207303,1.113548152,20.91487515,1.889412922,0.645194056,9.183282545,1.535601155,9.469573042,NaN,9.791580267,12.83997711,65.46120339,NaN,3.403286553,5.734533763,4.743833963,13.18470902,3.163719737,5.316166085,263.2554596,3.291795096,14.48193758,2.765409884,24.3,NaN
Strawberry,2018,JAG-18-12,S-18-12,Authentic SLO,Slovenia,2.796818623,-27.4761462,3.140450577,4.811359334,10.09512756,1.436311666,23.3872184,1.757034445,0.634409477,10.7308492,1.507095504,9.552120143,NaN,30.07239734,16.04645812,87.79666501,553.2004251,3.48176164,6.573567567,3.55184804,NaN,4.331164729,5.614925693,82.62728382,33.11545005,9.444523219,8.017752638,0.83,NaN
Strawberry,2018,JAG-18-13,S-18-13,Authentic SLO,Slovenia,1.817666792,-25.70540429,4.989172873,2.279092754,21.9886224,1.284043083,18.69451977,1.566623075,0.703875074,10.90182526,1.702046931,6.652684603,NaN,13.15974411,18.08637705,58.06826153,137.1596801,2.796108854,9.366734468,9.616069327,NaN,7.027104542,6.614873474,171.0482368,24.3288233,50.46143627,8.986966259,0.71,NaN
